nombre;slug;created_by_id;updated_by_id;foto;created_at;updated_at
Alexis Peña;Alexis-Peña;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Bethel Music;Bethel-Music;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Coalo Zamorano;Coalo-Zamorano;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Danilo Montero;Danilo-Montero;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
En Espiritu y En Verdad;En-Espiritu-y-En-Verdad;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Funky;Funky;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Generaciones;Generaciones;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Guardian;Guardian;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Hillsong;Hillsong;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Hillsong College;Hillsong-College;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Hillsong Kids;Hillsong-Kids;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Hillsong United;Hillsong-United;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Hillsong Young & Free;Hillsong-Young-&-Free;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Jesús Adrián Romero;Jesus-Adrian-Romero;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Marco Barrientos;Marco-Barrientos;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Marcos Witt;Marcos-Witt;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Matt Redman;Matt-Redman;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Paul Wilbur;Paul-Wilbur;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Petra;Petra;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Planetshakers;Planetshakers;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Rojo;Rojo;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Torre Fuerte;Torre-Fuerte;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
Varios;Varios;1;1;img/musica/artista/sin-imagen.jpeg;2000-01-01 05:00:00+00:00;2000-01-01 05:00:00+00:00
